Fecha,Positividad diaria,Positividad media movil *
2021-06-15,3.46,4.36
2021-06-16,7.33,5.04
2021-06-17,4.47,5.06
2021-06-18,5.97,4.89
2021-06-19,6.83,5.03
2021-06-20,4.64,5.17
2021-06-21,2.45,5.02
2021-06-22,4.75,5.21
2021-06-23,2.2,4.47
2021-06-24,3.75,4.37
2021-06-25,4.39,4.14
2021-06-26,6.57,4.11
2021-06-27,2.93,3.86
2021-06-28,2.3,3.84
2021-06-29,3.81,3.71
2021-06-30,2.51,3.75
2021-07-01,1.66,3.45
2021-07-02,4.05,3.4
2021-07-03,3.16,2.92
2021-07-04,3.78,3.04
2021-07-05,2.08,3.01
2021-07-06,2.89,2.88
2021-07-07,1.96,2.8
2021-07-08,2.69,2.94
2021-07-09,3.56,2.87
2021-07-10,3.28,2.89
2021-07-11,2.07,2.65
2021-07-12,1.63,2.58
2021-07-13,1.62,2.4
2021-07-14,1.23,2.3
2021-07-15,2.66,2.29
2021-07-16,2.57,2.15
2021-07-17,1.61,1.91
2021-07-18,1.33,1.81
2021-07-19,1.12,1.73
2021-07-20,2.22,1.82
2021-07-21,1.34,1.84
2021-07-22,1.65,1.69
2021-07-23,1.78,1.58
2021-07-24,1.85,1.61
2021-07-25,1.31,1.61
2021-07-26,1.34,1.64
2021-07-27,0.48,1.39
2021-07-28,0.52,1.27
2021-07-29,1.64,1.27
2021-07-30,1.98,1.3
2021-07-31,3.11,1.48
2021-08-01,1.51,1.51
2021-08-02,0.66,1.41
2021-08-03,3.18,1.8
2021-08-04,1.15,1.89
2021-08-05,0.98,1.79
2021-08-06,1.62,1.74
2021-08-07,2.08,1.59
2021-08-08,1.12,1.54
2021-08-09,0.94,1.58
2021-08-10,1.43,1.33
2021-08-11,0.98,1.31
2021-08-12,3.64,1.69
2021-08-13,0.56,1.54
2021-08-14,1.64,1.47
2021-08-15,1.14,1.48
2021-08-16,0.7,1.44
2021-08-17,0.64,1.33
2021-08-18,2.9,1.6
2021-08-19,0.48,1.15
2021-08-20,1.29,1.26
2021-08-21,1.37,1.22
2021-08-22,1.14,1.22
2021-08-23,0.83,1.24
2021-08-24,0.49,1.21
2021-08-25,0.42,0.86
2021-08-26,0.94,0.93
2021-08-27,1.14,0.9
2021-08-28,0.92,0.84
2021-08-29,0.93,0.81
2021-08-30,0.5,0.76
2021-08-31,0.34,0.74
2021-09-01,0.33,0.73
2021-09-02,0.87,0.72
2021-09-03,0.48,0.62
2021-09-04,1.15,0.66
2021-09-05,0.7,0.62
2021-09-06,0.35,0.6
2021-09-07,0.29,0.6
2021-09-08,0.39,0.6
2021-09-09,0.34,0.53
2021-09-10,1.34,0.65
2021-09-11,0.65,0.58
2021-09-12,0.81,0.59
2021-09-13,0.79,0.66
2021-09-14,0.93,0.75
2021-09-15,1.1,0.85
2021-09-16,1.78,1.06
2021-09-17,1.26,1.05
2021-09-18,2.36,1.29
2021-09-19,1.44,1.38
2021-09-20,0.45,1.33
2021-09-21,0.64,1.29
2021-09-22,0.48,1.2
2021-09-23,1.71,1.19
2021-09-24,1.61,1.24
2021-09-25,1.24,1.08
2021-09-26,0.87,1.0
2021-09-27,0.58,1.02
