Fecha,PCR informados nuevos,Media móvil semanal de PCR informados nuevos
2020-06-01,445.0,458.85714285714283
2020-06-02,346.0,424.57142857142856
2020-06-03,207.0,409.2857142857143
2020-06-04,248.0,393.2857142857143
2020-06-05,458.0,391.57142857142856
2020-06-06,446.0,374.57142857142856
2020-06-07,450.0,371.42857142857144
2020-06-08,449.0,372.0
2020-06-09,312.0,367.14285714285717
2020-06-10,329.0,384.57142857142856
2020-06-11,344.0,398.2857142857143
2020-06-12,495.0,403.57142857142856
2020-06-13,395.0,396.2857142857143
2020-06-14,482.0,400.85714285714283
2020-06-15,360.0,388.14285714285717
2020-06-16,328.0,390.42857142857144
2020-06-17,348.0,393.14285714285717
2020-06-18,289.0,385.2857142857143
2020-06-19,384.0,369.42857142857144
2020-06-20,484.0,382.14285714285717
2020-06-21,371.0,366.2857142857143
2020-06-22,370.0,367.7142857142857
2020-06-23,334.0,368.57142857142856
2020-06-24,318.0,364.2857142857143
2020-06-25,384.0,377.85714285714283
2020-06-26,505.0,395.14285714285717
2020-06-27,349.0,375.85714285714283
2020-06-28,607.0,409.57142857142856
2020-06-29,380.0,411.0
2020-06-30,352.0,413.57142857142856
2020-07-01,522.0,442.7142857142857
2020-07-02,320.0,433.57142857142856
2020-07-03,375.0,415.0
2020-07-04,590.0,449.42857142857144
2020-07-05,607.0,449.42857142857144
2020-07-06,786.0,507.42857142857144
2020-07-07,548.0,535.4285714285714
2020-07-08,503.0,532.7142857142857
2020-07-09,435.0,549.1428571428571
2020-07-10,462.0,561.5714285714286
2020-07-11,480.0,545.8571428571429
2020-07-12,621.0,547.8571428571429
2020-07-13,413.0,494.57142857142856
2020-07-14,406.0,474.2857142857143
2020-07-15,227.0,434.85714285714283
2020-07-16,321.0,418.57142857142856
2020-07-17,675.0,449.0
2020-07-18,568.0,461.57142857142856
2020-07-19,306.0,416.57142857142856
2020-07-20,689.0,456.0
2020-07-21,534.0,474.2857142857143
2020-07-22,374.0,495.2857142857143
2020-07-23,369.0,502.14285714285717
2020-07-24,732.0,510.2857142857143
2020-07-25,277.0,468.7142857142857
2020-07-26,429.0,486.2857142857143
2020-07-27,792.0,501.0
2020-07-28,1358.0,618.7142857142857
2020-07-29,468.0,632.1428571428571
2020-07-30,604.0,665.7142857142857
2020-07-31,390.0,616.8571428571429
2020-08-01,584.0,660.7142857142857
2020-08-02,588.0,683.4285714285714
2020-08-03,555.0,649.5714285714286
2020-08-04,418.0,515.2857142857143
2020-08-05,1515.0,664.8571428571429
2020-08-06,599.0,664.1428571428571
2020-08-07,659.0,702.5714285714286
2020-08-08,465.0,685.5714285714286
2020-08-09,650.0,694.4285714285714
2020-08-10,474.0,682.8571428571429
2020-08-11,716.0,725.4285714285714
2020-08-12,455.0,574.0
2020-08-13,637.0,579.4285714285714
2020-08-14,669.0,580.8571428571429
2020-08-15,559.0,594.2857142857143
2020-08-16,687.0,599.5714285714286
2020-08-17,748.0,638.7142857142857
2020-08-18,532.0,612.4285714285714
2020-08-19,292.0,589.1428571428571
2020-08-20,481.0,566.8571428571429
2020-08-21,645.0,563.4285714285714
2020-08-22,612.0,571.0
2020-08-23,742.0,578.8571428571429
2020-08-24,850.0,593.4285714285714
2020-08-25,517.0,591.2857142857143
2020-08-26,517.0,623.4285714285714
2020-08-27,593.0,639.4285714285714
2020-08-28,578.0,629.8571428571429
2020-08-29,719.0,645.1428571428571
2020-08-30,808.0,654.5714285714286
2020-08-31,976.0,672.5714285714286
2020-09-01,442.0,661.8571428571429
2020-09-02,488.0,657.7142857142857
2020-09-03,378.0,627.0
2020-09-04,699.0,644.2857142857143
2020-09-05,650.0,634.4285714285714
2020-09-06,940.0,653.2857142857143
2020-09-07,920.0,645.2857142857143
2020-09-08,728.0,686.1428571428571
2020-09-09,605.0,702.8571428571429
2020-09-10,684.0,746.5714285714286
2020-09-11,743.0,752.8571428571429
2020-09-12,778.0,771.1428571428571
2020-09-13,970.0,775.4285714285714
2020-09-14,715.0,746.1428571428571
2020-09-15,587.0,726.0
2020-09-16,476.0,707.5714285714286
2020-09-17,772.0,720.1428571428571
2020-09-18,709.0,715.2857142857143
2020-09-19,644.0,696.1428571428571
2020-09-20,722.0,660.7142857142857
2020-09-21,699.0,658.4285714285714
2020-09-22,354.0,625.1428571428571
2020-09-23,166.0,580.8571428571429
2020-09-24,509.0,543.2857142857143
2020-09-25,915.0,572.7142857142857
2020-09-26,757.0,588.8571428571429
2020-09-27,1023.0,631.8571428571429
2020-09-28,791.0,645.0
2020-09-29,1529.0,812.8571428571429
2020-09-30,479.0,857.5714285714286
2020-10-01,1011.0,929.2857142857143
2020-10-02,803.0,913.2857142857143
2020-10-03,802.0,919.7142857142857
2020-10-04,692.0,872.4285714285714
2020-10-05,1070.0,912.2857142857143
2020-10-06,855.0,816.0
2020-10-07,619.0,836.0
2020-10-08,1076.0,845.2857142857143
2020-10-09,741.0,836.4285714285714
2020-10-10,810.0,837.5714285714286
2020-10-11,853.0,860.5714285714286
2020-10-12,1075.0,861.2857142857143
2020-10-13,564.0,819.7142857142857
2020-10-14,292.0,773.0
2020-10-15,405.0,677.1428571428571
2020-10-16,858.0,693.8571428571429
2020-10-17,957.0,714.8571428571429
2020-10-18,638.0,684.1428571428571
2020-10-19,811.0,646.4285714285714
2020-10-20,1104.0,723.5714285714286
2020-10-21,907.0,811.4285714285714
2020-10-22,648.0,846.1428571428571
2020-10-23,972.0,862.4285714285714
2020-10-24,932.0,858.8571428571429
2020-10-25,1046.0,917.1428571428571
2020-10-26,1044.0,950.4285714285714
2020-10-27,796.0,906.4285714285714
2020-10-28,714.0,878.8571428571429
2020-10-29,694.0,885.4285714285714
2020-10-30,946.0,881.7142857142857
2020-10-31,1752.0,998.8571428571429
2020-11-01,906.0,978.8571428571429
2020-11-02,1263.0,1010.1428571428571
2020-11-03,434.0,958.4285714285714
2020-11-04,439.0,919.1428571428571
2020-11-05,898.0,948.2857142857143
2020-11-06,1083.0,967.8571428571429
2020-11-07,938.0,851.5714285714286
2020-11-08,1082.0,876.7142857142857
2020-11-09,1335.0,887.0
2020-11-10,1070.0,977.8571428571429
2020-11-11,423.0,975.5714285714286
2020-11-12,794.0,960.7142857142857
2020-11-13,892.0,933.4285714285714
2020-11-14,995.0,941.5714285714286
2020-11-15,1023.0,933.1428571428571
2020-11-16,504.0,814.4285714285714
2020-11-17,1812.0,920.4285714285714
2020-11-18,640.0,951.4285714285714
2020-11-19,1019.0,983.5714285714286
2020-11-20,1207.0,1028.5714285714287
2020-11-21,1054.0,1037.0
2020-11-22,976.0,1030.2857142857142
2020-11-23,1338.0,1149.4285714285713
2020-11-24,849.0,1011.8571428571429
2020-11-25,778.0,1031.5714285714287
2020-11-26,1209.0,1058.7142857142858
2020-11-27,906.0,1015.7142857142857
2020-11-28,707.0,966.1428571428571
2020-11-29,747.0,933.4285714285714
2020-11-30,1856.0,1007.4285714285714
2020-12-01,1101.0,1043.4285714285713
2020-12-02,355.0,983.0
2020-12-03,795.0,923.8571428571429
2020-12-04,861.0,917.4285714285714
2020-12-05,581.0,899.4285714285714
2020-12-06,894.0,920.4285714285714
2020-12-07,1667.0,893.4285714285714
2020-12-08,966.0,874.1428571428571
2020-12-09,659.0,917.5714285714286
2020-12-10,1082.0,958.5714285714286
2020-12-11,570.0,917.0
2020-12-12,167.0,857.8571428571429
2020-12-13,1731.0,977.4285714285714
2020-12-14,1359.0,933.4285714285714
2020-12-15,1796.0,1052.0
2020-12-16,1057.0,1108.857142857143
2020-12-17,1207.0,1126.7142857142858
2020-12-18,706.0,1146.142857142857
2020-12-19,984.0,1262.857142857143
2020-12-20,953.0,1151.7142857142858
2020-12-21,1484.0,1169.5714285714287
2020-12-22,1308.0,1099.857142857143
2020-12-23,685.0,1046.7142857142858
2020-12-24,1247.0,1052.4285714285713
2020-12-25,1016.0,1096.7142857142858
2020-12-26,1225.0,1131.142857142857
2020-12-27,1146.0,1158.7142857142858
2020-12-28,466.0,1013.2857142857143
2020-12-29,1115.0,985.7142857142857
2020-12-30,645.0,980.0
2020-12-31,1120.0,961.8571428571429
2021-01-01,1110.0,975.2857142857143
2021-01-02,947.0,935.5714285714286
2021-01-03,1125.0,932.5714285714286
2021-01-04,834.0,985.1428571428571
2021-01-05,1320.0,1014.4285714285714
2021-01-06,857.0,1044.7142857142858
2021-01-07,951.0,1020.5714285714286
2021-01-08,2120.0,1164.857142857143
2021-01-09,1394.0,1228.7142857142858
2021-01-10,1506.0,1283.142857142857
2021-01-11,1280.0,1346.857142857143
2021-01-12,1997.0,1443.5714285714287
2021-01-13,1300.0,1506.857142857143
2021-01-14,1452.0,1578.4285714285713
2021-01-15,1268.0,1456.7142857142858
2021-01-16,1716.0,1502.7142857142858
2021-01-17,1981.0,1570.5714285714287
2021-01-18,2172.0,1698.0
2021-01-19,1301.0,1598.5714285714287
2021-01-20,2229.0,1731.2857142857142
2021-01-21,1748.0,1773.5714285714287
2021-01-22,1375.0,1788.857142857143
2021-01-23,1618.0,1774.857142857143
2021-01-24,1796.0,1748.4285714285713
2021-01-25,1207.0,1610.5714285714287
2021-01-26,953.0,1560.857142857143
2021-01-27,1205.0,1414.5714285714287
2021-01-28,989.0,1306.142857142857
2021-01-29,1791.0,1365.5714285714287
2021-01-30,1282.0,1317.5714285714287
2021-01-31,1195.0,1231.7142857142858
2021-02-01,1531.0,1278.0
2021-02-02,2996.0,1569.857142857143
2021-02-03,1149.0,1561.857142857143
2021-02-04,1596.0,1648.5714285714287
2021-02-05,1267.0,1573.7142857142858
2021-02-06,1710.0,1634.857142857143
2021-02-07,1260.0,1644.142857142857
2021-02-08,1757.0,1676.4285714285713
2021-02-09,1374.0,1444.7142857142858
2021-02-10,472.0,1348.0
2021-02-11,1132.0,1281.7142857142858
2021-02-12,1058.0,1251.857142857143
2021-02-13,1084.0,1162.4285714285713
2021-02-14,1134.0,1144.4285714285713
2021-02-15,1449.0,1100.4285714285713
2021-02-16,667.0,999.4285714285714
2021-02-17,579.0,1014.7142857142857
2021-02-18,1626.0,1085.2857142857142
2021-02-19,989.0,1075.4285714285713
2021-02-20,985.0,1061.2857142857142
2021-02-21,1382.0,1096.7142857142858
2021-02-22,1303.0,1075.857142857143
2021-02-23,785.0,1092.7142857142858
2021-02-24,299.0,1052.7142857142858
2021-02-25,1668.0,1058.7142857142858
2021-02-26,1021.0,1063.2857142857142
2021-02-27,1201.0,1094.142857142857
2021-02-28,1183.0,1065.7142857142858
2021-03-01,1328.0,1069.2857142857142
2021-03-02,1061.0,1108.7142857142858
2021-03-03,509.0,1138.7142857142858
2021-03-04,1272.0,1082.142857142857
2021-03-05,1265.0,1117.0
2021-03-06,179.0,971.0
2021-03-07,433.0,863.8571428571429
2021-03-08,1136.0,836.4285714285714
2021-03-09,1178.0,853.1428571428571
2021-03-10,2609.0,1153.142857142857
2021-03-11,1639.0,1205.5714285714287
2021-03-12,1255.0,1204.142857142857
2021-03-13,1188.0,1348.2857142857142
2021-03-14,1535.0,1505.7142857142858
2021-03-15,1771.0,1596.4285714285713
2021-03-16,843.0,1548.5714285714287
2021-03-17,328.0,1222.7142857142858
2021-03-18,1877.0,1256.7142857142858
2021-03-19,1436.0,1282.5714285714287
2021-03-20,1280.0,1295.7142857142858
2021-03-21,1703.0,1319.7142857142858
2021-03-22,2138.0,1372.142857142857
2021-03-23,1593.0,1479.2857142857142
2021-03-24,709.0,1533.7142857142858
2021-03-25,1449.0,1472.5714285714287
2021-03-26,1408.0,1468.5714285714287
2021-03-27,1310.0,1472.857142857143
2021-03-28,1399.0,1429.4285714285713
2021-03-29,1947.0,1402.142857142857
2021-03-30,1122.0,1334.857142857143
2021-03-31,1046.0,1383.0
2021-04-01,1784.0,1430.857142857143
2021-04-02,2277.0,1555.0
2021-04-03,1150.0,1532.142857142857
2021-04-04,1588.0,1559.142857142857
2021-04-05,1511.0,1496.857142857143
2021-04-06,1235.0,1513.0
2021-04-07,760.0,1472.142857142857
2021-04-08,1884.0,1486.4285714285713
2021-04-09,1720.0,1406.857142857143
2021-04-10,1312.0,1430.0
2021-04-11,1431.0,1407.5714285714287
2021-04-12,1636.0,1425.4285714285713
2021-04-13,1655.0,1485.4285714285713
2021-04-14,919.0,1508.142857142857
2021-04-15,1613.0,1469.4285714285713
2021-04-16,1991.0,1508.142857142857
2021-04-17,1318.0,1509.0
2021-04-18,1970.0,1586.0
2021-04-19,1840.0,1615.142857142857
2021-04-20,2024.0,1667.857142857143
2021-04-21,1460.0,1745.142857142857
2021-04-22,1990.0,1799.0
2021-04-23,1514.0,1730.857142857143
2021-04-24,1323.0,1731.5714285714287
2021-04-25,1524.0,1667.857142857143
2021-04-26,2381.0,1745.142857142857
2021-04-27,1887.0,1725.5714285714287
2021-04-28,1214.0,1690.4285714285713
2021-04-29,2007.0,1692.857142857143
2021-04-30,1518.0,1693.4285714285713
2021-05-01,1464.0,1713.5714285714287
2021-05-02,1929.0,1771.4285714285713
2021-05-03,1597.0,1659.4285714285713
2021-05-04,545.0,1467.7142857142858
2021-05-05,1119.0,1454.142857142857
2021-05-06,2088.0,1465.7142857142858
2021-05-07,1349.0,1441.5714285714287
2021-05-08,1571.0,1456.857142857143
2021-05-09,1288.0,1365.2857142857142
2021-05-10,1970.0,1418.5714285714287
2021-05-11,1492.0,1553.857142857143
2021-05-12,1010.0,1538.2857142857142
2021-05-13,1662.0,1477.4285714285713
2021-05-14,1466.0,1494.142857142857
2021-05-15,1261.0,1449.857142857143
2021-05-16,1647.0,1501.142857142857
2021-05-17,1954.0,1498.857142857143
2021-05-18,1285.0,1469.2857142857142
2021-05-19,1287.0,1508.857142857143
