Fecha,Incidencia regional estimada,Incidencia Iquique estimada,Incidencia Tamarugal estimada
2020-11-24,9.02,9.54,8.03
2020-11-25,10.2,10.16,8.41
2020-11-26,7.41,7.28,8.38
2020-11-27,8.02,7.6,9.74
2020-11-28,6.81,7.6,6.67
2020-11-29,6.53,6.59,8.48
2020-11-30,11.13,11.95,12.18
2020-12-01,13.04,12.06,17.54
2020-12-02,11.93,11.06,23.01
2020-12-03,10.5,9.59,15.59
2020-12-04,10.2,9.43,19.07
2020-12-05,9.41,9.35,9.76
2020-12-06,8.92,8.55,12.9
2020-12-07,13.65,13.4,17.01
2020-12-08,12.01,12.65,10.71
2020-12-09,15.76,15.16,14.52
2020-12-10,15.37,15.54,13.02
2020-12-11,16.21,16.12,11.26
2020-12-12,16.35,15.77,12.27
2020-12-13,13.4,13.67,10.12
2020-12-14,21.88,21.81,12.95
2020-12-15,19.33,19.94,15.11
2020-12-16,19.99,21.81,10.56
2020-12-17,18.66,18.4,18.44
2020-12-18,21.61,22.09,10.88
2020-12-19,20.45,21.91,10.95
2020-12-20,19.27,19.72,7.8
2020-12-21,28.88,29.46,13.99
2020-12-22,22.57,24.73,10.46
2020-12-23,31.86,32.41,12.59
2020-12-24,24.22,25.09,10.03
2020-12-25,25.32,26.96,9.98
2020-12-26,27.93,28.14,14.29
2020-12-27,23.32,24.87,10.47
2020-12-28,46.91,47.98,20.11
2020-12-29,45.24,46.67,15.64
2020-12-30,40.64,43.34,25.84
2020-12-31,37.33,40.06,12.01
2021-01-01,40.21,41.47,20.23
2021-01-02,37.26,38.42,14.02
2021-01-03,44.41,42.81,36.42
2021-01-04,68.88,70.24,32.39
2021-01-05,59.58,61.44,38.79
2021-01-06,66.13,66.14,36.33
2021-01-07,60.34,57.37,64.41
2021-01-08,55.68,55.79,42.12
2021-01-09,48.32,47.88,30.53
2021-01-10,37.53,37.97,36.98
2021-01-11,67.86,70.15,42.08
2021-01-12,54.18,54.87,43.99
2021-01-13,52.45,53.44,39.54
2021-01-14,50.77,52.8,36.78
2021-01-15,46.96,47.39,45.63
2021-01-16,43.85,44.17,40.22
2021-01-17,34.48,33.03,43.33
2021-01-18,58.0,54.21,77.38
2021-01-19,51.64,49.53,50.83
2021-01-20,48.3,49.29,42.51
2021-01-21,47.02,48.6,31.93
2021-01-22,49.21,48.38,37.8
2021-01-23,38.99,37.36,44.62
2021-01-24,26.38,25.74,36.85
2021-01-25,51.37,50.98,47.18
2021-01-26,41.12,41.97,30.59
2021-01-27,38.1,39.44,29.19
2021-01-28,36.2,36.45,23.17
2021-01-29,33.8,35.44,22.07
2021-01-30,28.12,28.64,20.66
2021-01-31,22.04,23.45,15.83
2021-02-01,40.01,41.11,31.47
2021-02-02,35.69,36.17,32.27
2021-02-03,33.22,30.13,64.24
2021-02-04,27.15,27.94,29.7
2021-02-05,25.78,25.25,31.25
2021-02-06,25.55,24.53,36.8
2021-02-07,19.38,20.21,19.62
2021-02-08,38.59,38.01,53.07
2021-02-09,38.25,38.28,37.6
2021-02-10,36.65,35.3,54.3
2021-02-11,37.86,34.87,52.1
2021-02-12,34.45,30.5,57.49
2021-02-13,27.77,28.37,34.46
2021-02-14,27.27,26.56,32.05
2021-02-15,36.62,36.21,48.68
2021-02-16,31.42,31.97,24.27
2021-02-17,28.26,26.06,46.72
2021-02-18,25.35,26.16,22.06
2021-02-19,33.57,31.06,42.25
2021-02-20,25.55,25.84,23.06
2021-02-21,17.89,17.8,27.72
2021-02-22,34.04,34.13,25.01
2021-02-23,25.9,25.91,32.26
2021-02-24,27.85,29.37,21.19
2021-02-25,23.4,24.92,27.0
2021-02-26,24.55,25.37,17.28
2021-02-27,22.92,21.72,29.19
2021-02-28,20.12,19.6,19.31
2021-03-01,35.64,35.08,35.84
2021-03-02,31.98,32.09,23.15
2021-03-03,31.15,31.1,28.57
2021-03-04,27.41,27.54,21.19
2021-03-05,28.63,28.59,24.21
2021-03-06,23.04,24.62,15.42
2021-03-07,24.54,25.35,19.69
2021-03-08,37.23,37.74,31.73
2021-03-09,33.53,35.37,27.69
2021-03-10,39.37,39.11,28.44
2021-03-11,32.46,32.22,31.61
2021-03-12,31.12,32.47,21.39
2021-03-13,32.89,34.38,18.08
2021-03-14,29.07,30.39,16.41
2021-03-15,44.29,45.68,19.51
2021-03-16,39.11,41.97,20.35
2021-03-17,39.96,43.39,18.78
2021-03-18,40.39,41.96,25.33
2021-03-19,44.22,45.94,18.71
2021-03-20,43.39,44.89,15.78
2021-03-21,32.17,33.83,13.36
2021-03-22,53.45,54.2,30.67
2021-03-23,47.87,48.96,22.12
2021-03-24,40.7,42.52,18.32
2021-03-25,46.18,48.62,20.56
2021-03-26,37.07,39.62,18.1
2021-03-27,42.32,41.31,26.68
2021-03-28,30.15,31.43,19.69
2021-03-29,55.21,56.75,30.65
2021-03-30,54.89,57.36,26.9
2021-03-31,46.51,46.8,28.52
2021-04-01,51.49,53.93,29.15
2021-04-02,39.2,41.29,23.61
2021-04-03,36.92,39.45,19.58
2021-04-04,33.04,33.72,21.19
2021-04-05,53.85,56.96,31.49
2021-04-06,55.36,57.76,21.03
2021-04-07,48.26,48.06,35.6
2021-04-08,44.14,45.26,31.32
2021-04-09,46.28,44.23,32.33
2021-04-10,42.62,42.82,30.07
2021-04-11,33.41,32.85,27.12
2021-04-12,48.07,46.32,61.72
2021-04-13,47.6,46.31,39.76
2021-04-14,35.18,34.55,37.03
2021-04-15,35.49,37.03,26.42
2021-04-16,35.26,34.43,38.09
2021-04-17,32.4,31.72,26.97
2021-04-18,25.71,23.04,47.25
2021-04-19,38.19,38.25,33.08
2021-04-20,36.15,37.5,22.69
2021-04-21,32.34,32.2,26.92
2021-04-22,34.96,35.25,26.59
2021-04-23,32.81,32.08,27.41
2021-04-24,33.02,32.18,28.45
2021-04-25,27.47,26.51,28.47
2021-04-26,41.17,41.01,34.1
2021-04-27,35.42,36.05,31.92
2021-04-28,30.07,31.67,19.57
2021-04-29,30.88,30.42,29.14
2021-04-30,30.73,31.47,19.86
2021-05-01,24.67,24.92,21.94
2021-05-02,21.83,21.78,15.34
2021-05-03,37.31,37.29,22.77
2021-05-04,30.82,33.52,13.7
2021-05-05,40.07,43.06,10.03
2021-05-06,25.88,27.75,13.32
2021-05-07,26.44,28.23,9.6
2021-05-08,25.49,25.77,16.72
2021-05-09,21.49,23.14,12.15
2021-05-10,32.93,35.22,17.72
2021-05-11,29.03,29.82,14.67
2021-05-12,30.0,30.59,19.67
2021-05-13,25.92,27.2,14.28
2021-05-14,22.25,23.07,10.68
2021-05-15,19.39,20.08,11.91
2021-05-16,15.65,16.77,7.64
2021-05-17,29.95,31.24,13.92
2021-05-18,25.2,25.05,16.99
2021-05-19,24.42,25.88,13.99
2021-05-20,21.36,21.9,14.62
2021-05-21,20.07,19.89,22.12
2021-05-22,17.95,17.33,18.18
2021-05-23,16.58,16.3,18.73
2021-05-24,21.54,20.96,29.34
2021-05-25,24.2,23.94,22.19
2021-05-26,19.74,20.55,19.28
2021-05-27,23.78,23.35,23.23
2021-05-28,22.07,20.94,26.05
2021-05-29,17.32,17.67,21.8
2021-05-30,12.24,12.82,15.22
2021-05-31,21.28,22.69,22.99
2021-06-01,25.02,24.95,20.25
2021-06-02,20.52,20.6,18.66
2021-06-03,20.64,19.63,29.17
2021-06-04,19.31,17.22,37.44
2021-06-05,17.63,16.35,30.81
2021-06-06,15.46,14.85,21.94
2021-06-07,24.66,23.66,33.09
2021-06-08,25.92,24.76,27.43
2021-06-09,21.78,21.16,18.8
2021-06-10,19.05,18.71,23.18
2021-06-11,18.49,18.49,18.1
2021-06-12,15.46,16.49,18.64
2021-06-13,15.28,15.31,17.47
2021-06-14,26.65,25.12,33.13
2021-06-15,20.05,20.51,17.74
2021-06-16,18.33,18.41,19.82
