Fecha,Mortalidad específica por cien mil habitantes
2021-06-29,191.5
2021-06-30,191.5
2021-07-01,191.5
2021-07-02,192.8
2021-07-03,193.33
2021-07-04,193.85
2021-07-05,194.63
2021-07-06,194.63
2021-07-07,194.63
2021-07-08,195.94
2021-07-09,195.94
2021-07-10,196.2
2021-07-11,197.24
2021-07-12,197.77
2021-07-13,197.77
2021-07-14,197.77
2021-07-15,199.07
2021-07-16,199.33
2021-07-17,199.6
2021-07-18,199.6
2021-07-19,199.6
2021-07-20,199.6
2021-07-21,199.6
2021-07-22,200.64
2021-07-23,201.42
2021-07-24,201.42
2021-07-25,201.69
2021-07-26,202.47
2021-07-27,202.47
2021-07-28,202.47
2021-07-29,203.51
2021-07-30,204.3
2021-07-31,204.3
2021-08-01,204.82
2021-08-02,205.6
2021-08-03,205.6
2021-08-04,205.6
2021-08-05,206.65
2021-08-06,206.91
2021-08-07,207.17
2021-08-08,207.17
2021-08-09,207.43
2021-08-10,207.43
2021-08-11,207.43
2021-08-12,207.96
2021-08-13,207.96
2021-08-14,208.22
2021-08-15,208.22
2021-08-16,208.48
2021-08-17,208.48
2021-08-18,208.48
2021-08-19,208.74
2021-08-20,208.74
2021-08-21,209.0
2021-08-22,209.0
2021-08-23,209.26
2021-08-24,209.26
2021-08-25,209.26
2021-08-26,209.52
2021-08-27,209.78
2021-08-28,209.78
2021-08-29,209.78
2021-08-30,209.78
2021-08-31,209.78
2021-09-01,209.78
2021-09-02,209.78
2021-09-03,210.31
2021-09-04,210.31
2021-09-05,210.31
2021-09-06,210.31
2021-09-07,210.31
2021-09-08,210.57
2021-09-09,210.57
2021-09-10,210.57
2021-09-11,210.57
2021-09-12,211.09
2021-09-13,211.09
2021-09-14,211.09
2021-09-15,211.09
2021-09-16,211.09
2021-09-17,211.09
2021-09-18,211.09
2021-09-19,211.09
2021-09-20,211.09
2021-09-21,211.09
2021-09-22,211.09
2021-09-23,211.35
2021-09-24,211.35
2021-09-25,211.61
2021-09-26,211.61
2021-09-27,211.61
2021-09-28,211.61
2021-09-29,211.61
2021-09-30,211.61
