Fecha,Crecimiento diario *,Crecimiento semanal *
2021-07-07,0.88,0.79
2021-07-08,2.07,0.89
2021-07-09,1.0,0.93
2021-07-10,0.68,1.02
2021-07-11,0.85,0.93
2021-07-12,0.89,0.83
2021-07-13,0.84,0.89
2021-07-14,0.69,0.85
2021-07-15,2.56,0.75
2021-07-16,0.8,0.68
2021-07-17,0.59,0.63
2021-07-18,0.91,0.63
2021-07-19,0.9,0.65
2021-07-20,1.06,0.64
2021-07-21,1.16,0.68
2021-07-22,1.59,0.67
2021-07-23,0.8,0.7
2021-07-24,1.07,0.8
2021-07-25,0.83,0.88
2021-07-26,1.36,1.03
2021-07-27,0.29,1.02
2021-07-28,0.8,0.92
2021-07-29,5.0,1.01
2021-07-30,0.72,1.07
2021-07-31,1.59,1.12
2021-08-01,0.5,1.07
2021-08-02,0.78,0.9
2021-08-03,2.33,1.12
2021-08-04,0.36,1.25
2021-08-05,1.73,1.14
2021-08-06,1.54,1.19
2021-08-07,0.75,1.01
2021-08-08,0.67,1.01
2021-08-09,1.15,1.13
2021-08-10,1.22,0.88
2021-08-11,0.68,0.87
2021-08-12,3.79,1.17
2021-08-13,0.21,0.99
2021-08-14,1.4,1.02
2021-08-15,0.95,1.04
2021-08-16,0.8,0.97
2021-08-17,0.69,0.96
2021-08-18,1.45,0.92
2021-08-19,1.12,0.5
2021-08-20,1.17,0.59
2021-08-21,1.14,0.64
2021-08-22,0.83,0.64
2021-08-23,1.05,0.69
2021-08-24,0.24,0.72
2021-08-25,0.8,0.66
2021-08-26,6.0,1.02
2021-08-27,0.67,0.93
2021-08-28,0.81,0.82
2021-08-29,1.77,0.84
2021-08-30,0.74,0.78
2021-08-31,0.24,0.81
2021-09-01,3.75,0.99
2021-09-02,1.0,0.87
2021-09-03,0.53,0.83
2021-09-04,2.25,0.97
2021-09-05,0.72,0.85
2021-09-06,0.92,0.83
2021-09-07,0.58,0.87
2021-09-08,1.14,0.72
2021-09-09,1.25,0.74
2021-09-10,2.2,0.95
2021-09-11,0.64,0.86
2021-09-12,0.79,0.93
2021-09-13,1.82,1.08
2021-09-14,0.65,1.11
2021-09-15,1.31,1.32
2021-09-16,1.82,1.68
2021-09-17,0.68,1.41
2021-09-18,1.43,1.66
2021-09-19,0.53,1.76
2021-09-20,0.44,1.47
2021-09-21,0.57,1.29
2021-09-22,2.5,1.11
2021-09-23,2.3,0.87
2021-09-24,1.22,0.93
2021-09-25,0.64,0.74
2021-09-26,0.94,0.72
2021-09-27,1.18,0.89
2021-09-28,1.5,1.16
2021-09-29,0.43,1.25
2021-09-30,2.31,1.41
2021-10-01,1.2,1.39
2021-10-02,0.58,1.58
2021-10-03,1.1,1.62
2021-10-04,1.78,1.62
2021-10-05,0.76,1.34
2021-10-06,0.55,1.34
2021-10-07,2.76,1.38
2021-10-08,0.38,1.21
2021-10-09,2.33,1.31
2021-10-10,0.4,1.23
2021-10-11,2.12,1.07
2021-10-12,0.61,1.02
2021-10-13,1.91,1.13
2021-10-14,0.52,0.92
2021-10-15,1.23,1.05
2021-10-16,1.78,0.98
2021-10-17,0.96,1.14
2021-10-18,0.61,1.13
2021-10-19,1.54,1.29
2021-10-20,0.28,1.01
2021-10-21,3.25,1.22
2021-10-22,1.15,1.25
2021-10-23,1.13,1.23
2021-10-24,0.67,1.04
2021-10-25,0.91,1.09
2021-10-26,1.45,1.0
2021-10-27,1.0,1.28
2021-10-28,1.02,1.22
2021-10-29,1.61,1.25
2021-10-30,0.32,1.13
2021-10-31,2.58,1.3
2021-11-01,0.6,1.31
2021-11-02,1.16,1.29
2021-11-03,0.53,1.07
2021-11-04,1.61,1.01
2021-11-05,0.86,0.79
2021-11-06,2.19,1.02
2021-11-07,0.57,0.86
2021-11-08,1.38,0.9
