Fecha,Cupos en residencias,Usuarios en residencias
2021-07-22,604.0,237.0
2021-07-23,604.0,213.0
2021-07-24,604.0,253.0
2021-07-25,604.0,254.0
2021-07-26,604.0,230.0
2021-07-27,604.0,233.0
2021-07-28,604.0,255.0
2021-07-29,604.0,250.0
2021-07-30,604.0,243.0
2021-07-31,604.0,238.0
2021-08-01,604.0,257.0
2021-08-02,553.0,229.0
2021-08-03,553.0,214.0
2021-08-04,553.0,223.0
2021-08-05,508.0,235.0
2021-08-06,508.0,257.0
2021-08-07,508.0,222.0
2021-08-08,508.0,221.0
2021-08-09,508.0,209.0
2021-08-10,508.0,216.0
2021-08-11,508.0,229.0
2021-08-12,508.0,238.0
2021-08-13,508.0,237.0
2021-08-14,508.0,223.0
2021-08-15,508.0,247.0
2021-08-16,508.0,226.0
2021-08-17,449.0,207.0
2021-08-18,285.0,236.0
2021-08-19,285.0,265.0
2021-08-20,285.0,261.0
2021-08-21,285.0,297.0
2021-08-22,285.0,304.0
2021-08-23,285.0,306.0
2021-08-24,285.0,276.0
2021-08-25,285.0,303.0
2021-08-26,285.0,315.0
2021-08-27,285.0,309.0
2021-08-28,285.0,313.0
2021-08-29,285.0,277.0
2021-08-30,285.0,242.0
2021-08-31,285.0,226.0
2021-09-01,285.0,268.0
2021-09-02,285.0,318.0
2021-09-03,285.0,287.0
2021-09-04,285.0,309.0
2021-09-05,285.0,276.0
2021-09-06,285.0,242.0
2021-09-07,285.0,214.0
2021-09-08,285.0,223.0
2021-09-09,285.0,244.0
2021-09-10,285.0,248.0
2021-09-11,285.0,258.0
2021-09-12,285.0,277.0
2021-09-13,285.0,276.0
2021-09-14,285.0,267.0
2021-09-15,285.0,250.0
2021-09-16,285.0,294.0
2021-09-17,285.0,286.0
2021-09-18,285.0,300.0
2021-09-19,285.0,291.0
2021-09-20,285.0,277.0
2021-09-21,285.0,253.0
2021-09-22,285.0,257.0
2021-09-23,285.0,286.0
2021-09-24,285.0,269.0
2021-09-25,285.0,283.0
2021-09-26,285.0,272.0
2021-09-27,285.0,260.0
2021-09-28,285.0,275.0
2021-09-29,285.0,285.0
2021-09-30,285.0,319.0
2021-10-01,285.0,328.0
2021-10-02,285.0,354.0
2021-10-03,285.0,344.0
2021-10-04,285.0,334.0
2021-10-05,285.0,318.0
2021-10-06,285.0,327.0
2021-10-07,285.0,264.0
2021-10-08,285.0,241.0
2021-10-09,285.0,273.0
2021-10-10,285.0,271.0
2021-10-11,285.0,240.0
2021-10-12,285.0,239.0
2021-10-13,285.0,219.0
2021-10-14,285.0,235.0
2021-10-15,285.0,286.0
2021-10-16,285.0,295.0
2021-10-17,285.0,299.0
2021-10-18,363.0,300.0
2021-10-19,363.0,293.0
2021-10-20,363.0,292.0
2021-10-21,429.0,365.0
2021-10-22,429.0,357.0
2021-10-23,429.0,379.0
2021-10-24,429.0,414.0
2021-10-25,429.0,386.0
2021-10-26,429.0,318.0
2021-10-27,363.0,310.0
2021-10-28,363.0,288.0
2021-10-29,363.0,270.0
2021-10-30,363.0,283.0
2021-10-31,363.0,273.0
2021-11-01,363.0,253.0
2021-11-02,363.0,249.0
2021-11-03,363.0,249.0
2021-11-04,363.0,243.0
2021-11-05,363.0,242.0
2021-11-06,363.0,214.0
2021-11-07,363.0,227.0
2021-11-08,363.0,257.0
2021-11-09,363.0,293.0
2021-11-10,363.0,296.0
2021-11-11,363.0,292.0
2021-11-12,363.0,312.0
2021-11-13,363.0,279.0
2021-11-14,363.0,318.0
2021-11-15,363.0,313.0
2021-11-16,363.0,279.0
2021-11-17,363.0,286.0
2021-11-18,363.0,277.0
2021-11-19,363.0,287.0
2021-11-20,363.0,291.0
2021-11-21,363.0,295.0
2021-11-22,363.0,311.0
2021-11-23,363.0,278.0
2021-11-24,363.0,278.0
2021-11-25,363.0,272.0
2021-11-26,363.0,258.0
2021-11-27,363.0,263.0
2021-11-28,363.0,264.0
2021-11-29,363.0,239.0
2021-11-30,363.0,218.0
2021-12-01,363.0,236.0
2021-12-02,363.0,231.0
2021-12-03,363.0,228.0
2021-12-04,363.0,226.0
2021-12-05,363.0,213.0
2021-12-06,363.0,218.0
2021-12-07,363.0,200.0
2021-12-08,363.0,281.0
2021-12-09,363.0,258.0
2021-12-10,363.0,257.0
2021-12-11,363.0,261.0
2021-12-12,363.0,286.0
2021-12-13,363.0,256.0
2021-12-14,363.0,219.0
2021-12-15,363.0,244.0
2021-12-16,363.0,175.0
2021-12-17,363.0,197.0
2021-12-18,363.0,228.0
2021-12-19,363.0,273.0
2021-12-20,363.0,257.0
2021-12-21,363.0,257.0
2021-12-22,363.0,255.0
2021-12-23,363.0,207.0
2021-12-24,363.0,213.0
2021-12-25,363.0,212.0
2021-12-26,363.0,199.0
2021-12-27,363.0,169.0
2021-12-28,363.0,131.0
2021-12-29,363.0,127.0
2021-12-30,363.0,149.0
2021-12-31,363.0,179.0
2022-01-01,363.0,232.0
2022-01-02,363.0,237.0
2022-01-03,363.0,227.0
2022-01-04,363.0,219.0
2022-01-05,363.0,220.0
2022-01-06,363.0,218.0
2022-01-07,533.0,324.0
2022-01-08,533.0,328.0
2022-01-09,455.0,303.0
2022-01-10,455.0,285.0
2022-01-11,455.0,295.0
2022-01-12,455.0,396.0
2022-01-13,455.0,386.0
2022-01-14,455.0,415.0
2022-01-15,455.0,403.0
2022-01-16,455.0,419.0
2022-01-17,455.0,373.0
2022-01-18,455.0,398.0
2022-01-19,455.0,438.0
2022-01-20,455.0,349.0
2022-01-21,455.0,414.0
2022-01-22,455.0,403.0
2022-01-23,455.0,387.0
2022-01-24,455.0,356.0
2022-01-25,455.0,391.0
2022-01-26,455.0,397.0
2022-01-27,455.0,325.0
2022-01-28,455.0,293.0
2022-01-29,455.0,257.0
2022-01-30,455.0,354.0
2022-01-31,455.0,338.0
2022-02-01,455.0,287.0
